match_id,event_timestamp,_map,score_diff,rank_1,rank_2,year
2301093,2016-02-28T00:00:00.000+01:00,Mirage,8,64,23,2016
2329640,2018-12-06T00:00:00.000+01:00,Mirage,4,60,74,2018
2331912,2019-03-22T00:00:00.000+01:00,Nuke,11,85,23,2019
2331329,2019-03-01T00:00:00.000+01:00,Overpass,7,63,42,2019
2318814,2018-01-30T00:00:00.000+01:00,Mirage,4,24,17,2018
2308466,2017-03-06T00:00:00.000+01:00,Mirage,6,41,68,2017
2325575,2018-08-11T00:00:00.000+02:00,Dust2,9,83,100,2018
2330982,2019-02-13T00:00:00.000+01:00,Inferno,7,38,69,2019
2317354,2017-11-16T00:00:00.000+01:00,Cobblestone,3,57,132,2017
2313927,2017-09-07T00:00:00.000+02:00,Inferno,11,20,7,2017
2321263,2018-03-27T00:00:00.000+02:00,Inferno,8,19,51,2018
2304160,2016-08-26T00:00:00.000+02:00,Mirage,4,19,23,2016
2305631,2016-10-11T00:00:00.000+02:00,Overpass,6,4,16,2016
2322380,2018-06-07T00:00:00.000+02:00,Cache,6,120,195,2018
2322601,2018-05-06T00:00:00.000+02:00,Inferno,5,133,221,2018
2317186,2017-11-12T00:00:00.000+01:00,Mirage,9,23,56,2017
2337265,2019-11-02T00:00:00.000+01:00,Dust2,13,21,12,2019
2332341,2019-04-06T00:00:00.000+02:00,Mirage,3,103,107,2019
2324259,2018-06-25T00:00:00.000+02:00,Nuke,2,20,21,2018
2332089,2019-04-06T00:00:00.000+02:00,Train,12,7,4,2019
2313791,2017-08-25T00:00:00.000+02:00,Train,12,186,350,2017
2329982,2018-12-16T00:00:00.000+01:00,Dust2,11,27,100,2018
2321953,2018-04-13T00:00:00.000+02:00,Train,16,41,188,2018
2340186,2020-03-09T00:00:00.000+01:00,Nuke,6,88,77,2020
2304955,2016-09-24T00:00:00.000+02:00,Overpass,14,8,16,2016
2316695,2017-11-05T00:00:00.000+01:00,Inferno,15,19,8,2017
2313992,2017-10-06T00:00:00.000+02:00,Inferno,2,17,13,2017
