match_id,event_timestamp,_map,score_diff,rank_1,rank_2,year
2313305,2017-08-12T00:00:00.000+02:00,Cobblestone,11,144,305,2017
2328603,2018-11-01T00:00:00.000+01:00,Mirage,3,30,39,2018
2303713,2016-08-01T00:00:00.000+02:00,Mirage,2,34,75,2016
2305621,2016-10-12T00:00:00.000+02:00,Nuke,10,149,118,2016
2309152,2017-03-31T00:00:00.000+02:00,Cobblestone,13,28,13,2017
2335560,2019-08-18T00:00:00.000+02:00,Mirage,2,39,30,2019
2339122,2020-01-27T00:00:00.000+01:00,Inferno,6,134,56,2020
2335006,2019-08-22T00:00:00.000+02:00,Mirage,3,19,53,2019
2319228,2018-02-07T00:00:00.000+01:00,Mirage,8,73,40,2018
2336067,2019-09-14T00:00:00.000+02:00,Nuke,10,90,87,2019
2317134,2017-11-13T00:00:00.000+01:00,Train,11,208,54,2017
2313553,2017-08-18T00:00:00.000+02:00,Mirage,2,113,197,2017
2303599,2016-07-24T00:00:00.000+02:00,Cobblestone,2,103,110,2016
2318629,2018-01-16T00:00:00.000+01:00,Inferno,12,169,188,2018
2333117,2019-05-10T00:00:00.000+02:00,Dust2,7,26,65,2019
2319453,2018-02-15T00:00:00.000+01:00,Inferno,6,13,10,2018
2314008,2017-10-17T00:00:00.000+02:00,Cache,9,16,9,2017
2312588,2017-07-11T00:00:00.000+02:00,Mirage,12,71,93,2017
2338387,2019-12-09T00:00:00.000+01:00,Train,6,25,73,2019
2311698,2017-06-17T00:00:00.000+02:00,Cobblestone,3,65,236,2017
2315985,2017-10-16T00:00:00.000+02:00,Cache,4,36,59,2017
2309429,2017-04-08T00:00:00.000+02:00,Mirage,8,6,11,2017
2331280,2019-02-23T00:00:00.000+01:00,Dust2,6,138,133,2019
2315928,2017-10-14T00:00:00.000+02:00,Inferno,3,146,28,2017
2322402,2018-05-01T00:00:00.000+02:00,Overpass,2,18,1,2018
2310363,2017-05-04T00:00:00.000+02:00,Inferno,7,43,108,2017
2316275,2017-10-23T00:00:00.000+02:00,Cobblestone,3,80,83,2017
2324091,2018-06-21T00:00:00.000+02:00,Overpass,15,32,74,2018
2305290,2016-10-03T00:00:00.000+02:00,Cache,11,19,139,2016
2326121,2018-08-29T00:00:00.000+02:00,Cache,10,102,171,2018
2333849,2019-06-01T00:00:00.000+02:00,Mirage,6,37,70,2019
2314682,2017-09-10T00:00:00.000+02:00,Inferno,4,49,40,2017
2314545,2017-09-06T00:00:00.000+02:00,Inferno,10,67,65,2017
2339374,2020-02-24T00:00:00.000+01:00,Overpass,9,1,20,2020
2326855,2018-09-29T00:00:00.000+02:00,Train,3,70,16,2018
2311435,2017-06-09T00:00:00.000+02:00,Train,2,35,31,2017
2327188,2018-10-05T00:00:00.000+02:00,Cache,8,5,21,2018
2332433,2019-04-09T00:00:00.000+02:00,Train,2,13,80,2019
2336215,2019-09-22T00:00:00.000+02:00,Train,5,90,23,2019
2335620,2019-08-28T00:00:00.000+02:00,Overpass,2,6,8,2019
2331062,2019-02-21T00:00:00.000+01:00,Inferno,14,1,8,2019
2316714,2017-11-01T00:00:00.000+01:00,Train,5,37,34,2017
2335998,2019-09-12T00:00:00.000+02:00,Mirage,2,43,287,2019
2310222,2017-05-02T00:00:00.000+02:00,Mirage,11,32,82,2017
2312521,2017-07-10T00:00:00.000+02:00,Inferno,6,71,209,2017
2335150,2019-07-27T00:00:00.000+02:00,Train,4,229,110,2019
2338170,2019-11-28T00:00:00.000+01:00,Mirage,5,19,82,2019
2337568,2019-11-20T00:00:00.000+01:00,Mirage,9,23,35,2019
2302512,2016-05-05T00:00:00.000+02:00,Overpass,15,29,16,2016
2318890,2018-01-31T00:00:00.000+01:00,Train,10,26,19,2018
2327732,2018-10-08T00:00:00.000+02:00,Mirage,13,101,44,2018
2322029,2018-04-16T00:00:00.000+02:00,Mirage,7,57,98,2018
2331549,2019-03-07T00:00:00.000+01:00,Cache,7,10,37,2019
2306976,2016-11-29T00:00:00.000+01:00,Cobblestone,7,158,244,2016
2335254,2019-08-08T00:00:00.000+02:00,Overpass,11,39,155,2019
2308220,2017-03-02T00:00:00.000+01:00,Train,3,35,57,2017
2303717,2016-08-01T00:00:00.000+02:00,Mirage,2,112,56,2016
2324999,2018-07-27T00:00:00.000+02:00,Mirage,13,183,205,2018
2328330,2018-10-23T00:00:00.000+02:00,Train,12,25,118,2018
