match_id,event_timestamp,_map,score_diff,rank_1,rank_2,year
2323687,2018-06-18T00:00:00.000+02:00,Mirage,5,177,25,2018
2313972,2017-10-04T00:00:00.000+02:00,Inferno,10,14,5,2017
2333638,2019-05-26T00:00:00.000+02:00,Train,11,57,30,2019
2336320,2019-10-02T00:00:00.000+02:00,Inferno,12,7,23,2019
2319193,2018-02-09T00:00:00.000+01:00,Inferno,12,3,20,2018
2315431,2017-10-01T00:00:00.000+02:00,Overpass,3,61,29,2017
2332375,2019-04-26T00:00:00.000+02:00,Mirage,7,90,116,2019
2302653,2016-05-16T00:00:00.000+02:00,Mirage,5,21,10,2016
2330354,2019-01-17T00:00:00.000+01:00,Dust2,8,155,235,2019
2315377,2017-09-29T00:00:00.000+02:00,Inferno,3,115,250,2017
2335894,2019-09-10T00:00:00.000+02:00,Overpass,12,135,131,2019
2302764,2016-05-25T00:00:00.000+02:00,Dust2,8,4,3,2016
2325571,2018-08-11T00:00:00.000+02:00,Mirage,11,85,187,2018
2325223,2018-08-02T00:00:00.000+02:00,Mirage,11,65,37,2018
2325945,2018-08-25T00:00:00.000+02:00,Cache,8,61,113,2018
2305660,2016-10-11T00:00:00.000+02:00,Overpass,2,152,223,2016
2310895,2017-05-18T00:00:00.000+02:00,Train,3,42,50,2017
2327299,2018-10-03T00:00:00.000+02:00,Train,5,24,20,2018
2300271,2016-01-13T00:00:00.000+01:00,Train,7,8,7,2016
2337453,2019-11-01T00:00:00.000+01:00,Overpass,6,23,25,2019
2318629,2018-01-16T00:00:00.000+01:00,Overpass,3,169,188,2018
2332830,2019-04-28T00:00:00.000+02:00,Vertigo,5,23,28,2019
2318395,2017-12-30T00:00:00.000+01:00,Inferno,4,59,65,2017
2337371,2019-11-15T00:00:00.000+01:00,Inferno,2,59,29,2019
2328137,2018-10-18T00:00:00.000+02:00,Mirage,5,40,54,2018
2332623,2019-04-18T00:00:00.000+02:00,Overpass,6,186,127,2019
2318347,2017-12-24T00:00:00.000+01:00,Inferno,8,187,148,2017
2301501,2016-03-20T00:00:00.000+01:00,Overpass,3,8,43,2016
2331462,2019-03-11T00:00:00.000+01:00,Inferno,8,96,28,2019
2324288,2018-06-26T00:00:00.000+02:00,Mirage,12,38,28,2018
2337044,2019-10-21T00:00:00.000+02:00,Vertigo,4,208,302,2019
2336321,2019-10-02T00:00:00.000+02:00,Nuke,4,10,19,2019
2335854,2019-09-08T00:00:00.000+02:00,Overpass,5,140,143,2019
2328080,2018-10-31T00:00:00.000+01:00,Overpass,8,11,2,2018
2339376,2020-02-24T00:00:00.000+01:00,Dust2,12,22,4,2020
2311104,2017-05-27T00:00:00.000+02:00,Cache,2,3,28,2017
2310314,2017-05-05T00:00:00.000+02:00,Cobblestone,3,18,10,2017
2307042,2016-12-06T00:00:00.000+01:00,Overpass,2,90,47,2016
2330508,2019-01-29T00:00:00.000+01:00,Train,6,44,14,2019
2329557,2018-12-12T00:00:00.000+01:00,Inferno,11,8,85,2018
2325844,2018-08-21T00:00:00.000+02:00,Overpass,9,87,64,2018
2316025,2017-10-15T00:00:00.000+02:00,Cache,2,35,51,2017
2338126,2019-11-27T00:00:00.000+01:00,Nuke,2,142,132,2019
2318969,2018-02-02T00:00:00.000+01:00,Cobblestone,3,11,100,2018
2321686,2018-04-07T00:00:00.000+02:00,Inferno,3,129,120,2018
2335334,2019-08-06T00:00:00.000+02:00,Inferno,5,143,91,2019
2334604,2019-07-03T00:00:00.000+02:00,Dust2,5,34,12,2019
2316985,2017-11-12T00:00:00.000+01:00,Train,4,215,189,2017
2320299,2018-03-04T00:00:00.000+01:00,Train,9,34,52,2018
2334517,2019-06-21T00:00:00.000+02:00,Vertigo,3,58,45,2019
2324515,2018-07-01T00:00:00.000+02:00,Nuke,12,107,52,2018
2312597,2017-07-11T00:00:00.000+02:00,Inferno,2,23,20,2017
2312337,2017-07-07T00:00:00.000+02:00,Cache,7,59,99,2017
2321012,2018-03-22T00:00:00.000+01:00,Cobblestone,4,69,78,2018
2310021,2017-04-25T00:00:00.000+02:00,Train,4,9,1,2017
2315824,2017-10-11T00:00:00.000+02:00,Train,16,14,8,2017
2303138,2016-06-19T00:00:00.000+02:00,Nuke,6,29,12,2016
2320963,2018-03-19T00:00:00.000+01:00,Cache,7,179,221,2018
2336535,2019-09-26T00:00:00.000+02:00,Inferno,6,23,30,2019
2319744,2018-02-16T00:00:00.000+01:00,Mirage,14,96,85,2018
2319753,2018-02-16T00:00:00.000+01:00,Cache,4,21,50,2018
2331822,2019-03-19T00:00:00.000+01:00,Nuke,6,69,78,2019
2324229,2018-08-07T00:00:00.000+02:00,Mirage,4,197,265,2018
2336677,2019-10-03T00:00:00.000+02:00,Vertigo,2,24,136,2019
2303657,2016-07-28T00:00:00.000+02:00,Dust2,2,126,125,2016
2307440,2017-01-15T00:00:00.000+01:00,Cache,5,22,41,2017
2331913,2019-03-22T00:00:00.000+01:00,Mirage,3,25,60,2019
2334046,2019-06-07T00:00:00.000+02:00,Dust2,3,218,209,2019
2331861,2019-03-21T00:00:00.000+01:00,Train,3,229,98,2019
2324377,2018-06-28T00:00:00.000+02:00,Inferno,3,33,62,2018
2325918,2018-08-23T00:00:00.000+02:00,Overpass,12,31,18,2018
2310492,2017-05-11T00:00:00.000+02:00,Nuke,4,28,4,2017
2322723,2018-05-11T00:00:00.000+02:00,Cache,4,2,22,2018
2314456,2017-09-03T00:00:00.000+02:00,Train,7,19,56,2017
2308498,2017-03-07T00:00:00.000+01:00,Overpass,2,35,49,2017
2306430,2016-11-04T00:00:00.000+01:00,Mirage,7,39,18,2016
2332421,2019-04-10T00:00:00.000+02:00,Mirage,8,111,88,2019
2318416,2018-01-06T00:00:00.000+01:00,Mirage,7,38,24,2018
2309287,2017-04-01T00:00:00.000+02:00,Inferno,11,36,177,2017
2321791,2018-04-06T00:00:00.000+02:00,Inferno,8,44,11,2018
2337460,2019-11-09T00:00:00.000+01:00,Mirage,8,5,8,2019
2311117,2017-05-24T00:00:00.000+02:00,Cobblestone,6,354,299,2017
2320549,2018-03-08T00:00:00.000+01:00,Mirage,3,68,21,2018
2316935,2017-11-08T00:00:00.000+01:00,Overpass,11,56,41,2017
2313356,2017-08-13T00:00:00.000+02:00,Mirage,2,48,181,2017
2330713,2019-02-06T00:00:00.000+01:00,Train,3,57,62,2019
2325655,2018-08-14T00:00:00.000+02:00,Cache,2,237,249,2018
2338650,2019-12-21T00:00:00.000+01:00,Dust2,9,66,81,2019
2305426,2016-10-06T00:00:00.000+02:00,Cache,11,93,103,2016
2313725,2017-08-22T00:00:00.000+02:00,Overpass,12,125,87,2017
2334357,2019-06-22T00:00:00.000+02:00,Nuke,2,14,1,2019
2339498,2020-02-14T00:00:00.000+01:00,Nuke,5,41,88,2020
2322965,2018-05-22T00:00:00.000+02:00,Nuke,4,35,54,2018
2331255,2019-02-25T00:00:00.000+01:00,Mirage,6,19,52,2019
2327617,2018-10-19T00:00:00.000+02:00,Cache,6,22,4,2018
2323180,2018-05-25T00:00:00.000+02:00,Overpass,2,73,109,2018
2309133,2017-03-28T00:00:00.000+02:00,Inferno,13,10,119,2017
2331138,2019-02-21T00:00:00.000+01:00,Cache,12,39,34,2019
2333149,2019-05-11T00:00:00.000+02:00,Nuke,2,35,84,2019
2328361,2018-10-25T00:00:00.000+02:00,Train,15,244,73,2018
2310918,2017-05-18T00:00:00.000+02:00,Overpass,7,117,141,2017
2301512,2016-03-21T00:00:00.000+01:00,Mirage,8,27,109,2016
2324585,2018-07-05T00:00:00.000+02:00,Nuke,5,39,36,2018
2324750,2018-07-11T00:00:00.000+02:00,Train,8,98,88,2018
2311796,2017-06-21T00:00:00.000+02:00,Nuke,7,45,43,2017
2317943,2017-12-16T00:00:00.000+01:00,Nuke,9,12,15,2017
2317246,2017-11-13T00:00:00.000+01:00,Cobblestone,4,189,117,2017
2336685,2019-10-02T00:00:00.000+02:00,Inferno,12,55,14,2019
2309186,2017-03-31T00:00:00.000+02:00,Overpass,7,42,54,2017
2325156,2018-08-01T00:00:00.000+02:00,Dust2,12,53,12,2018
2314549,2017-09-08T00:00:00.000+02:00,Mirage,12,22,25,2017
2334534,2019-06-22T00:00:00.000+02:00,Mirage,3,33,102,2019
2321725,2018-04-05T00:00:00.000+02:00,Train,9,151,129,2018
2338533,2019-12-12T00:00:00.000+01:00,Dust2,14,21,65,2019
2303043,2016-06-12T00:00:00.000+02:00,Overpass,7,11,27,2016
2311781,2017-06-20T00:00:00.000+02:00,Mirage,13,177,143,2017
2331370,2019-03-01T00:00:00.000+01:00,Train,2,145,72,2019
2318334,2017-12-22T00:00:00.000+01:00,Cobblestone,8,43,59,2017
2338363,2019-12-17T00:00:00.000+01:00,Nuke,13,8,10,2019
2333630,2019-05-27T00:00:00.000+02:00,Train,3,163,154,2019
2336353,2019-09-21T00:00:00.000+02:00,Dust2,9,160,74,2019
2301212,2016-03-06T00:00:00.000+01:00,Mirage,3,63,34,2016
2320349,2018-03-06T00:00:00.000+01:00,Cobblestone,2,108,197,2018
2320291,2018-03-03T00:00:00.000+01:00,Inferno,3,41,102,2018
2333142,2019-05-10T00:00:00.000+02:00,Nuke,6,51,35,2019
2331125,2019-02-21T00:00:00.000+01:00,Dust2,6,26,43,2019
2332126,2019-03-29T00:00:00.000+01:00,Inferno,2,19,42,2019
2321112,2018-03-22T00:00:00.000+01:00,Cache,9,118,111,2018
2323818,2018-06-13T00:00:00.000+02:00,Overpass,2,75,200,2018
2327526,2018-10-06T00:00:00.000+02:00,Nuke,14,151,28,2018
2336382,2019-09-22T00:00:00.000+02:00,Train,8,24,73,2019
2302836,2016-05-29T00:00:00.000+02:00,Cache,2,64,87,2016
2326464,2018-09-07T00:00:00.000+02:00,Overpass,2,13,23,2018
2321197,2018-03-23T00:00:00.000+01:00,Cache,12,113,128,2018
2303177,2016-06-22T00:00:00.000+02:00,Cache,5,49,27,2016
2321488,2018-03-29T00:00:00.000+02:00,Cobblestone,2,152,78,2018
2310090,2017-04-27T00:00:00.000+02:00,Train,13,16,29,2017
2314021,2017-10-18T00:00:00.000+02:00,Inferno,5,29,11,2017
2318576,2018-01-17T00:00:00.000+01:00,Mirage,2,84,284,2018
2300877,2016-02-19T00:00:00.000+01:00,Train,6,3,1,2016
2317730,2017-12-04T00:00:00.000+01:00,Mirage,15,35,119,2017
2314315,2017-08-30T00:00:00.000+02:00,Overpass,10,104,144,2017
2336996,2019-10-17T00:00:00.000+02:00,Dust2,5,47,34,2019
2338860,2020-01-09T00:00:00.000+01:00,Train,9,12,30,2020
2315400,2017-10-03T00:00:00.000+02:00,Train,9,46,52,2017
2311806,2017-06-21T00:00:00.000+02:00,Inferno,7,64,55,2017
2320350,2018-03-06T00:00:00.000+01:00,Cache,8,60,95,2018
2338030,2019-11-29T00:00:00.000+01:00,Nuke,5,64,23,2019
2317440,2017-11-22T00:00:00.000+01:00,Nuke,9,44,46,2017
2304991,2016-09-23T00:00:00.000+02:00,Cobblestone,12,23,159,2016
2310266,2017-05-02T00:00:00.000+02:00,Mirage,5,17,20,2017
2325568,2018-08-11T00:00:00.000+02:00,Inferno,2,205,68,2018
2340006,2020-03-06T00:00:00.000+01:00,Inferno,7,114,93,2020
2303146,2016-06-20T00:00:00.000+02:00,Mirage,4,16,9,2016
2332952,2019-05-15T00:00:00.000+02:00,Mirage,8,10,28,2019
2335398,2019-08-11T00:00:00.000+02:00,Dust2,4,34,70,2019
2331884,2019-03-22T00:00:00.000+01:00,Mirage,9,152,160,2019
2334049,2019-06-07T00:00:00.000+02:00,Mirage,6,281,226,2019
2332789,2019-04-25T00:00:00.000+02:00,Train,13,81,129,2019
2328407,2018-10-30T00:00:00.000+01:00,Inferno,4,87,71,2018
2335106,2019-07-21T00:00:00.000+02:00,Dust2,3,62,58,2019
